Date,Time,Sensor T-H-G,Location,Value
14/03/2019,09:00,23/5/45,5/43,
14/03/2019,09:10,23/5/45,5/43,
14/03/2019,09:20,23/5/45,5/43,
14/03/2019,09:30,23/5/45,5/43,
14/03/2019,09:40,23/5/45,5/43,
14/03/2019,09:50,23/5/45,5/43,
14/03/2019,10:00,23/5/45,5/43,
14/03/2019,10:10,23/5/45,5/43,
14/03/2019,10:20,23/5/45,5/43,
14/03/2019,10:30,23/5/45,5/43,
14/03/2019,10:40,23/5/45,5/43,
14/03/2019,10:50,23/5/45,5/43,
14/03/2019,11:00,23/5/45,5/43,
14/03/2019,11:10,23/5/45,5/43,
14/03/2019,11:20,23/5/45,5/43,
14/03/2019,11:30,23/5/45,5/43,
14/03/2019,11:40,23/5/45,5/43,
14/03/2019,11:50,23/5/45,5/43,
14/03/2019,12:00,23/5/45,5/43,
14/03/2019,12:10,23/5/45,5/43,
14/03/2019,12:20,23/5/45,5/43,
14/03/2019,12:30,23/5/45,5/43,
14/03/2019,12:40,23/5/45,5/43,
14/03/2019,12:50,23/5/45,5/43,
14/03/2019,13:00,23/5/45,5/43,
14/03/2019,13:10,23/5/45,5/43,
14/03/2019,13:20,23/5/45,5/43,
14/03/2019,13:30,23/5/45,5/43,
14/03/2019,13:40,23/5/45,5/43,
14/03/2019,13:50,23/5/45,5/43,
14/03/2019,14:00,23/5/45,5/43,
14/03/2019,14:10,23/5/45,5/43,
14/03/2019,14:20,23/5/45,5/43,
14/03/2019,14:30,23/5/45,5/43,
14/03/2019,14:40,23/5/45,5/43,
14/03/2019,14:50,23/5/45,5/43,
14/03/2019,15:00,23/5/45,5/43,
14/03/2019,15:10,23/5/45,5/43,
14/03/2019,15:20,23/5/45,5/43,
14/03/2019,15:30,23/5/45,5/43,
14/03/2019,15:40,23/5/45,5/43,
14/03/2019,15:50,23/5/45,5/43,
14/03/2019,16:00,23/5/45,5/43,
14/03/2019,16:10,23/5/45,5/43,
14/03/2019,16:20,23/5/45,5/43,
14/03/2019,16:30,23/5/45,5/43,
14/03/2019,16:40,23/5/45,5/43,
14/03/2019,16:50,23/5/45,5/43,
14/03/2019,17:00,23/5/45,5/43,
14/03/2019,17:10,23/5/45,5/43,
14/03/2019,17:20,23/5/45,5/43,
14/03/2019,17:30,23/5/45,5/43,
14/03/2019,17:40,23/5/45,5/43,
14/03/2019,17:50,23/5/45,5/43,
14/03/2019,18:00,23/5/45,5/43,
14/03/2019,18:10,23/5/45,5/43,
14/03/2019,18:20,23/5/45,5/43,
14/03/2019,18:30,23/5/45,5/43,
14/03/2019,18:40,23/5/45,5/43,
14/03/2019,18:50,23/5/45,5/43,
14/03/2019,19:00,23/5/45,5/43,
14/03/2019,19:10,23/5/45,5/43,
14/03/2019,19:20,23/5/45,5/43,
14/03/2019,19:30,23/5/45,5/43,
14/03/2019,19:40,23/5/45,5/43,
14/03/2019,19:50,23/5/45,5/43,
14/03/2019,20:00,23/5/45,5/43,
14/03/2019,20:10,23/5/45,5/43,
14/03/2019,20:20,23/5/45,5/43,
14/03/2019,20:30,23/5/45,5/43,
14/03/2019,20:40,23/5/45,5/43,
14/03/2019,20:50,23/5/45,5/43,
14/03/2019,21:00,23/5/45,5/43,
14/03/2019,21:10,23/5/45,5/43,
14/03/2019,21:20,23/5/45,5/43,
14/03/2019,21:30,23/5/45,5/43,
14/03/2019,21:40,23/5/45,5/43,
14/03/2019,21:50,23/5/45,5/43,
14/03/2019,22:00,23/5/45,5/43,
14/03/2019,22:10,23/5/45,5/43,
14/03/2019,22:20,23/5/45,5/43,
14/03/2019,22:30,23/5/45,5/43,
14/03/2019,22:40,23/5/45,5/43,
14/03/2019,22:50,23/5/45,5/43,
14/03/2019,23:00,23/5/45,5/43,
14/03/2019,23:10,23/5/45,5/43,
14/03/2019,23:20,23/5/45,5/43,
14/03/2019,23:30,23/5/45,5/43,
14/03/2019,23:40,23/5/45,5/43,
14/03/2019,23:50,23/5/45,5/43,
15/03/2019,00:00,23/5/45,5/43,
15/03/2019,00:10,23/5/45,5/43,
15/03/2019,00:20,23/5/45,5/43,
15/03/2019,00:30,23/5/45,5/43,
15/03/2019,00:40,23/5/45,5/43,
15/03/2019,00:50,23/5/45,5/43,
15/03/2019,01:00,23/5/45,5/43,
15/03/2019,01:10,23/5/45,5/43,
15/03/2019,01:20,23/5/45,5/43,
15/03/2019,01:30,23/5/45,5/43,
15/03/2019,01:40,23/5/45,5/43,
15/03/2019,01:50,23/5/45,5/43,
15/03/2019,02:00,23/5/45,5/43,
15/03/2019,02:10,23/5/45,5/43,
15/03/2019,02:20,23/5/45,5/43,
15/03/2019,02:30,23/5/45,5/43,
15/03/2019,02:40,23/5/45,5/43,
15/03/2019,02:50,23/5/45,5/43,
15/03/2019,03:00,23/5/45,5/43,
15/03/2019,03:10,23/5/45,5/43,
15/03/2019,03:20,23/5/45,5/43,
15/03/2019,03:30,23/5/45,5/43,
15/03/2019,03:40,23/5/45,5/43,
15/03/2019,03:50,23/5/45,5/43,
15/03/2019,04:00,23/5/45,5/43,
15/03/2019,04:10,23/5/45,5/43,
15/03/2019,04:20,23/5/45,5/43,
15/03/2019,04:30,23/5/45,5/43,
15/03/2019,04:40,23/5/45,5/43,
15/03/2019,04:50,23/5/45,5/43,
15/03/2019,05:00,23/5/45,5/43,
15/03/2019,05:10,23/5/45,5/43,
15/03/2019,05:20,23/5/45,5/43,
15/03/2019,05:30,23/5/45,5/43,
15/03/2019,05:40,23/5/45,5/43,
15/03/2019,05:50,23/5/45,5/43,
15/03/2019,06:00,23/5/45,5/43,
15/03/2019,06:10,23/5/45,5/43,
15/03/2019,06:20,23/5/45,5/43,
15/03/2019,06:30,23/5/45,5/43,
15/03/2019,06:40,23/5/45,5/43,
15/03/2019,06:50,23/5/45,5/43,
15/03/2019,07:00,23/5/45,5/43,
15/03/2019,07:10,23/5/45,5/43,
15/03/2019,07:20,23/5/45,5/43,
15/03/2019,07:30,23/5/45,5/43,
15/03/2019,07:40,23/5/45,5/43,
15/03/2019,07:50,23/5/45,5/43,
15/03/2019,08:00,23/5/45,5/43,
15/03/2019,08:10,23/5/45,5/43,
15/03/2019,08:20,23/5/45,5/43,
15/03/2019,08:30,23/5/45,5/43,
15/03/2019,08:40,23/5/45,5/43,
15/03/2019,08:50,23/5/45,5/43,
15/03/2019,09:00,23/5/45,5/43,
15/03/2019,09:10,23/5/45,5/43,
15/03/2019,09:20,23/5/45,5/43,
15/03/2019,09:30,23/5/45,5/43,
15/03/2019,09:40,23/5/45,5/43,
15/03/2019,09:50,23/5/45,5/43,
15/03/2019,10:00,23/5/45,5/43,
15/03/2019,10:10,23/5/45,5/43,
15/03/2019,10:20,23/5/45,5/43,
15/03/2019,10:30,23/5/45,5/43,
15/03/2019,10:40,23/5/45,5/43,
15/03/2019,10:50,23/5/45,5/43,
15/03/2019,11:00,23/5/45,5/43,
15/03/2019,11:10,23/5/45,5/43,
15/03/2019,11:20,23/5/45,5/43,
15/03/2019,11:30,23/5/45,5/43,
15/03/2019,11:40,23/5/45,5/43,
15/03/2019,11:50,23/5/45,5/43,
15/03/2019,12:00,23/5/45,5/43,
15/03/2019,12:10,23/5/45,5/43,
15/03/2019,12:20,23/5/45,5/43,
15/03/2019,12:30,23/5/45,5/43,
15/03/2019,12:40,23/5/45,5/43,
15/03/2019,12:50,23/5/45,5/43,
15/03/2019,13:00,23/5/45,5/43,
15/03/2019,13:10,23/5/45,5/43,
15/03/2019,13:20,23/5/45,5/43,
15/03/2019,13:30,23/5/45,5/43,
15/03/2019,13:40,23/5/45,5/43,
15/03/2019,13:50,23/5/45,5/43,
15/03/2019,14:00,23/5/45,5/43,
15/03/2019,14:10,23/5/45,5/43,
15/03/2019,14:20,23/5/45,5/43,
15/03/2019,14:30,23/5/45,5/43,
15/03/2019,14:40,23/5/45,5/43,
15/03/2019,14:50,23/5/45,5/43,
15/03/2019,15:00,23/5/45,5/43,
15/03/2019,15:10,23/5/45,5/43,
15/03/2019,15:20,23/5/45,5/43,
15/03/2019,15:30,23/5/45,5/43,
15/03/2019,15:40,23/5/45,5/43,
15/03/2019,15:50,23/5/45,5/43,
15/03/2019,16:00,23/5/45,5/43,
15/03/2019,16:10,23/5/45,5/43,
15/03/2019,16:20,23/5/45,5/43,
15/03/2019,16:30,23/5/45,5/43,
15/03/2019,16:40,23/5/45,5/43,
15/03/2019,16:50,23/5/45,5/43,
15/03/2019,17:00,23/5/45,5/43,
15/03/2019,17:10,23/5/45,5/43,
15/03/2019,17:20,23/5/45,5/43,
15/03/2019,17:30,23/5/45,5/43,
15/03/2019,17:40,23/5/45,5/43,
15/03/2019,17:50,23/5/45,5/43,
15/03/2019,18:00,23/5/45,5/43,
15/03/2019,18:10,23/5/45,5/43,
15/03/2019,18:20,23/5/45,5/43,
15/03/2019,18:30,23/5/45,5/43,
15/03/2019,18:40,23/5/45,5/43,
15/03/2019,18:50,23/5/45,5/43,
15/03/2019,19:00,23/5/45,5/43,
15/03/2019,19:10,23/5/45,5/43,
15/03/2019,19:20,23/5/45,5/43,
15/03/2019,19:30,23/5/45,5/43,
15/03/2019,19:40,23/5/45,5/43,
15/03/2019,19:50,23/5/45,5/43,
15/03/2019,20:00,23/5/45,5/43,
15/03/2019,20:10,23/5/45,5/43,
15/03/2019,20:20,23/5/45,5/43,
15/03/2019,20:30,23/5/45,5/43,
15/03/2019,20:40,23/5/45,5/43,
15/03/2019,20:50,23/5/45,5/43,
15/03/2019,21:00,23/5/45,5/43,
15/03/2019,21:10,23/5/45,5/43,
15/03/2019,21:20,23/5/45,5/43,
15/03/2019,21:30,23/5/45,5/43,
15/03/2019,21:40,23/5/45,5/43,
15/03/2019,21:50,23/5/45,5/43,
15/03/2019,22:00,23/5/45,5/43,
15/03/2019,22:10,23/5/45,5/43,
15/03/2019,22:20,23/5/45,5/43,
15/03/2019,22:30,23/5/45,5/43,
15/03/2019,22:40,23/5/45,5/43,
15/03/2019,22:50,23/5/45,5/43,
15/03/2019,23:00,23/5/45,5/43,
15/03/2019,23:10,23/5/45,5/43,
15/03/2019,23:20,23/5/45,5/43,
15/03/2019,23:30,23/5/45,5/43,
15/03/2019,23:40,23/5/45,5/43,
15/03/2019,23:50,23/5/45,5/43,
16/03/2019,00:00,23/5/45,5/43,
16/03/2019,00:10,23/5/45,5/43,
16/03/2019,00:20,23/5/45,5/43,
16/03/2019,00:30,23/5/45,5/43,
16/03/2019,00:40,23/5/45,5/43,
16/03/2019,00:50,23/5/45,5/43,
16/03/2019,01:00,23/5/45,5/43,
16/03/2019,01:10,23/5/45,5/43,
16/03/2019,01:20,23/5/45,5/43,
16/03/2019,01:30,23/5/45,5/43,
16/03/2019,01:40,23/5/45,5/43,
16/03/2019,01:50,23/5/45,5/43,
16/03/2019,02:00,23/5/45,5/43,
16/03/2019,02:10,23/5/45,5/43,
16/03/2019,02:20,23/5/45,5/43,
16/03/2019,02:30,23/5/45,5/43,
16/03/2019,02:40,23/5/45,5/43,
16/03/2019,02:50,23/5/45,5/43,
16/03/2019,03:00,23/5/45,5/43,
16/03/2019,03:10,23/5/45,5/43,
16/03/2019,03:20,23/5/45,5/43,
16/03/2019,03:30,23/5/45,5/43,
16/03/2019,03:40,23/5/45,5/43,
16/03/2019,03:50,23/5/45,5/43,
16/03/2019,04:00,23/5/45,5/43,
16/03/2019,04:10,23/5/45,5/43,
16/03/2019,04:20,23/5/45,5/43,
16/03/2019,04:30,23/5/45,5/43,
16/03/2019,04:40,23/5/45,5/43,
16/03/2019,04:50,23/5/45,5/43,
16/03/2019,05:00,23/5/45,5/43,
16/03/2019,05:10,23/5/45,5/43,
16/03/2019,05:20,23/5/45,5/43,
16/03/2019,05:30,23/5/45,5/43,
16/03/2019,05:40,23/5/45,5/43,
16/03/2019,05:50,23/5/45,5/43,
16/03/2019,06:00,23/5/45,5/43,
16/03/2019,06:10,23/5/45,5/43,
16/03/2019,06:20,23/5/45,5/43,
16/03/2019,06:30,23/5/45,5/43,
16/03/2019,06:40,23/5/45,5/43,
16/03/2019,06:50,23/5/45,5/43,
16/03/2019,07:00,23/5/45,5/43,
16/03/2019,07:10,23/5/45,5/43,
16/03/2019,07:20,23/5/45,5/43,
16/03/2019,07:30,23/5/45,5/43,
16/03/2019,07:40,23/5/45,5/43,
16/03/2019,07:50,23/5/45,5/43,
16/03/2019,08:00,23/5/45,5/43,
16/03/2019,08:10,23/5/45,5/43,
16/03/2019,08:20,23/5/45,5/43,
16/03/2019,08:30,23/5/45,5/43,
16/03/2019,08:40,23/5/45,5/43,
16/03/2019,08:50,23/5/45,5/43,
16/03/2019,09:00,23/5/45,5/43,
16/03/2019,09:10,23/5/45,5/43,
16/03/2019,09:20,23/5/45,5/43,
16/03/2019,09:30,23/5/45,5/43,
16/03/2019,09:40,23/5/45,5/43,
16/03/2019,09:50,23/5/45,5/43,
16/03/2019,10:00,23/5/45,5/43,
16/03/2019,10:10,23/5/45,5/43,
16/03/2019,10:20,23/5/45,5/43,
16/03/2019,10:30,23/5/45,5/43,
16/03/2019,10:40,23/5/45,5/43,
16/03/2019,10:50,23/5/45,5/43,
16/03/2019,11:00,23/5/45,5/43,
16/03/2019,11:10,23/5/45,5/43,
16/03/2019,11:20,23/5/45,5/43,
16/03/2019,11:30,23/5/45,5/43,
16/03/2019,11:40,23/5/45,5/43,
16/03/2019,11:50,23/5/45,5/43,
16/03/2019,12:00,23/5/45,5/43,
16/03/2019,12:10,23/5/45,5/43,
16/03/2019,12:20,23/5/45,5/43,
16/03/2019,12:30,23/5/45,5/43,
16/03/2019,12:40,23/5/45,5/43,
16/03/2019,12:50,23/5/45,5/43,
16/03/2019,13:00,23/5/45,5/43,
16/03/2019,13:10,23/5/45,5/43,
16/03/2019,13:20,23/5/45,5/43,
16/03/2019,13:30,23/5/45,5/43,
16/03/2019,13:40,23/5/45,5/43,
16/03/2019,13:50,23/5/45,5/43,
16/03/2019,14:00,23/5/45,5/43,
16/03/2019,14:10,23/5/45,5/43,
16/03/2019,14:20,23/5/45,5/43,
16/03/2019,14:30,23/5/45,5/43,
16/03/2019,14:40,23/5/45,5/43,
16/03/2019,14:50,23/5/45,5/43,
16/03/2019,15:00,23/5/45,5/43,
16/03/2019,15:10,23/5/45,5/43,
16/03/2019,15:20,23/5/45,5/43,
16/03/2019,15:30,23/5/45,5/43,
16/03/2019,15:40,23/5/45,5/43,
16/03/2019,15:50,23/5/45,5/43,
16/03/2019,16:00,23/5/45,5/43,
16/03/2019,16:10,23/5/45,5/43,
16/03/2019,16:20,23/5/45,5/43,
16/03/2019,16:30,23/5/45,5/43,
16/03/2019,16:40,23/5/45,5/43,
16/03/2019,16:50,23/5/45,5/43,
16/03/2019,17:00,23/5/45,5/43,
16/03/2019,17:10,23/5/45,5/43,
16/03/2019,17:20,23/5/45,5/43,
16/03/2019,17:30,23/5/45,5/43,
16/03/2019,17:40,23/5/45,5/43,
16/03/2019,17:50,23/5/45,5/43,
16/03/2019,18:00,23/5/45,5/43,
16/03/2019,18:10,23/5/45,5/43,
16/03/2019,18:20,23/5/45,5/43,
16/03/2019,18:30,23/5/45,5/43,
16/03/2019,18:40,23/5/45,5/43,
16/03/2019,18:50,23/5/45,5/43,
16/03/2019,19:00,23/5/45,5/43,
16/03/2019,19:10,23/5/45,5/43,
16/03/2019,19:20,23/5/45,5/43,
16/03/2019,19:30,23/5/45,5/43,
16/03/2019,19:40,23/5/45,5/43,
16/03/2019,19:50,23/5/45,5/43,
16/03/2019,20:00,23/5/45,5/43,
16/03/2019,20:10,23/5/45,5/43,
16/03/2019,20:20,23/5/45,5/43,
16/03/2019,20:30,23/5/45,5/43,
16/03/2019,20:40,23/5/45,5/43,
16/03/2019,20:50,23/5/45,5/43,
16/03/2019,21:00,23/5/45,5/43,
16/03/2019,21:10,23/5/45,5/43,
16/03/2019,21:20,23/5/45,5/43,
16/03/2019,21:30,23/5/45,5/43,
16/03/2019,21:40,23/5/45,5/43,
16/03/2019,21:50,23/5/45,5/43,
16/03/2019,22:00,23/5/45,5/43,
16/03/2019,22:10,23/5/45,5/43,
16/03/2019,22:20,23/5/45,5/43,
16/03/2019,22:30,23/5/45,5/43,
16/03/2019,22:40,23/5/45,5/43,
16/03/2019,22:50,23/5/45,5/43,
16/03/2019,23:00,23/5/45,5/43,
16/03/2019,23:10,23/5/45,5/43,
16/03/2019,23:20,23/5/45,5/43,
16/03/2019,23:30,23/5/45,5/43,
16/03/2019,23:40,23/5/45,5/43,
16/03/2019,23:50,23/5/45,5/43,
17/03/2019,00:00,23/5/45,5/43,
17/03/2019,00:10,23/5/45,5/43,
17/03/2019,00:20,23/5/45,5/43,
17/03/2019,00:30,23/5/45,5/43,
17/03/2019,00:40,23/5/45,5/43,
17/03/2019,00:50,23/5/45,5/43,
17/03/2019,01:00,23/5/45,5/43,
17/03/2019,01:10,23/5/45,5/43,
17/03/2019,01:20,23/5/45,5/43,
17/03/2019,01:30,23/5/45,5/43,
17/03/2019,01:40,23/5/45,5/43,
17/03/2019,01:50,23/5/45,5/43,
17/03/2019,02:00,23/5/45,5/43,
17/03/2019,02:10,23/5/45,5/43,
17/03/2019,02:20,23/5/45,5/43,
17/03/2019,02:30,23/5/45,5/43,
17/03/2019,02:40,23/5/45,5/43,
17/03/2019,02:50,23/5/45,5/43,
17/03/2019,03:00,23/5/45,5/43,
17/03/2019,03:10,23/5/45,5/43,
17/03/2019,03:20,23/5/45,5/43,
17/03/2019,03:30,23/5/45,5/43,
17/03/2019,03:40,23/5/45,5/43,
17/03/2019,03:50,23/5/45,5/43,
17/03/2019,04:00,23/5/45,5/43,
17/03/2019,04:10,23/5/45,5/43,
17/03/2019,04:20,23/5/45,5/43,
17/03/2019,04:30,23/5/45,5/43,
17/03/2019,04:40,23/5/45,5/43,
17/03/2019,04:50,23/5/45,5/43,
17/03/2019,05:00,23/5/45,5/43,
17/03/2019,05:10,23/5/45,5/43,
17/03/2019,05:20,23/5/45,5/43,
17/03/2019,05:30,23/5/45,5/43,
17/03/2019,05:40,23/5/45,5/43,
17/03/2019,05:50,23/5/45,5/43,
17/03/2019,06:00,23/5/45,5/43,
17/03/2019,06:10,23/5/45,5/43,
17/03/2019,06:20,23/5/45,5/43,
17/03/2019,06:30,23/5/45,5/43,
17/03/2019,06:40,23/5/45,5/43,
17/03/2019,06:50,23/5/45,5/43,
17/03/2019,07:00,23/5/45,5/43,
17/03/2019,07:10,23/5/45,5/43,
17/03/2019,07:20,23/5/45,5/43,
17/03/2019,07:30,23/5/45,5/43,
17/03/2019,07:40,23/5/45,5/43,
17/03/2019,07:50,23/5/45,5/43,
17/03/2019,08:00,23/5/45,5/43,
17/03/2019,08:10,23/5/45,5/43,
17/03/2019,08:20,23/5/45,5/43,
17/03/2019,08:30,23/5/45,5/43,
17/03/2019,08:40,23/5/45,5/43,
17/03/2019,08:50,23/5/45,5/43,
17/03/2019,09:00,23/5/45,5/43,
17/03/2019,09:10,23/5/45,5/43,
17/03/2019,09:20,23/5/45,5/43,
17/03/2019,09:30,23/5/45,5/43,
17/03/2019,09:40,23/5/45,5/43,
17/03/2019,09:50,23/5/45,5/43,
17/03/2019,10:00,23/5/45,5/43,
17/03/2019,10:10,23/5/45,5/43,
17/03/2019,10:20,23/5/45,5/43,
17/03/2019,10:30,23/5/45,5/43,
17/03/2019,10:40,23/5/45,5/43,
17/03/2019,10:50,23/5/45,5/43,
17/03/2019,11:00,23/5/45,5/43,
17/03/2019,11:10,23/5/45,5/43,
17/03/2019,11:20,23/5/45,5/43,
17/03/2019,11:30,23/5/45,5/43,
17/03/2019,11:40,23/5/45,5/43,
17/03/2019,11:50,23/5/45,5/43,
17/03/2019,12:00,23/5/45,5/43,
17/03/2019,12:10,23/5/45,5/43,
17/03/2019,12:20,23/5/45,5/43,
17/03/2019,12:30,23/5/45,5/43,
17/03/2019,12:40,23/5/45,5/43,
17/03/2019,12:50,23/5/45,5/43,
17/03/2019,13:00,23/5/45,5/43,
17/03/2019,13:10,23/5/45,5/43,
17/03/2019,13:20,23/5/45,5/43,
17/03/2019,13:30,23/5/45,5/43,
17/03/2019,13:40,23/5/45,5/43,
17/03/2019,13:50,23/5/45,5/43,
17/03/2019,14:00,23/5/45,5/43,
17/03/2019,14:10,23/5/45,5/43,
17/03/2019,14:20,23/5/45,5/43,
17/03/2019,14:30,23/5/45,5/43,
17/03/2019,14:40,23/5/45,5/43,
17/03/2019,14:50,23/5/45,5/43,
17/03/2019,15:00,23/5/45,5/43,
17/03/2019,15:10,23/5/45,5/43,
17/03/2019,15:20,23/5/45,5/43,
17/03/2019,15:30,23/5/45,5/43,
17/03/2019,15:40,23/5/45,5/43,
17/03/2019,15:50,23/5/45,5/43,
17/03/2019,16:00,23/5/45,5/43,
17/03/2019,16:10,23/5/45,5/43,
17/03/2019,16:20,23/5/45,5/43,
17/03/2019,16:30,23/5/45,5/43,
17/03/2019,16:40,23/5/45,5/43,
17/03/2019,16:50,23/5/45,5/43,
17/03/2019,17:00,23/5/45,5/43,
17/03/2019,17:10,23/5/45,5/43,
17/03/2019,17:20,23/5/45,5/43,
17/03/2019,17:30,23/5/45,5/43,
17/03/2019,17:40,23/5/45,5/43,
17/03/2019,17:50,23/5/45,5/43,
17/03/2019,18:00,23/5/45,5/43,
17/03/2019,18:10,23/5/45,5/43,
17/03/2019,18:20,23/5/45,5/43,
17/03/2019,18:30,23/5/45,5/43,
17/03/2019,18:40,23/5/45,5/43,
17/03/2019,18:50,23/5/45,5/43,
17/03/2019,19:00,23/5/45,5/43,
17/03/2019,19:10,23/5/45,5/43,
17/03/2019,19:20,23/5/45,5/43,
17/03/2019,19:30,23/5/45,5/43,
17/03/2019,19:40,23/5/45,5/43,
17/03/2019,19:50,23/5/45,5/43,
17/03/2019,20:00,23/5/45,5/43,
17/03/2019,20:10,23/5/45,5/43,
17/03/2019,20:20,23/5/45,5/43,
17/03/2019,20:30,23/5/45,5/43,
17/03/2019,20:40,23/5/45,5/43,
17/03/2019,20:50,23/5/45,5/43,
17/03/2019,21:00,23/5/45,5/43,
17/03/2019,21:10,23/5/45,5/43,
17/03/2019,21:20,23/5/45,5/43,
17/03/2019,21:30,23/5/45,5/43,
17/03/2019,21:40,23/5/45,5/43,
17/03/2019,21:50,23/5/45,5/43,
17/03/2019,22:00,23/5/45,5/43,
17/03/2019,22:10,23/5/45,5/43,
17/03/2019,22:20,23/5/45,5/43,
17/03/2019,22:30,23/5/45,5/43,
17/03/2019,22:40,23/5/45,5/43,
17/03/2019,22:50,23/5/45,5/43,
17/03/2019,23:00,23/5/45,5/43,
17/03/2019,23:10,23/5/45,5/43,
17/03/2019,23:20,23/5/45,5/43,
17/03/2019,23:30,23/5/45,5/43,
17/03/2019,23:40,23/5/45,5/43,
17/03/2019,23:50,23/5/45,5/43,
